ano;periodo;id_turma;media_final_geral;total_alunos;qtd_aprovado;qtd_desistencia;qtd_reprovado_por_média_e_por_faltas;qtd_trancado;qtd_aprovado_por_nota;qtd_reprovado;qtd_reprovado_por_faltas;qtd_reprovado_por_nota_e_falta;qtd_reprovado_por_nota
2013;1;1196561;4.755555555555555;32;9;0;0;0;0;23;0;0;0
2013;1;1196562;4.914285714285714;36;7;0;0;0;0;29;0;0;0
2013;1;1196563;4.933333333333334;32;12;0;0;0;0;20;0;0;0
2013;1;1196564;5.025;34;16;0;15;0;0;3;0;0;0
2013;1;1196565;5.064285714285714;38;14;0;0;0;0;24;0;0;0
2013;1;1196566;4.549999999999999;40;16;0;19;0;0;5;0;0;0
2013;1;1196567;4.722222222222221;39;9;0;22;0;0;8;0;0;0
2013;1;1196568;4.614285714285714;34;7;0;0;0;0;27;0;0;0
2013;1;1196569;4.214285714285714;34;7;0;25;0;0;2;0;0;0
2013;1;1196570;3.755555555555556;39;9;0;24;0;0;6;0;0;0
2013;1;1196571;5.0;35;8;0;19;0;0;8;0;0;0
2013;1;1196572;4.333333333333333;35;3;0;28;0;0;4;0;0;0
2013;1;1196573;3.85;38;4;0;24;0;0;10;0;0;0
2013;1;1196574;4.490909090909091;35;11;0;21;0;0;3;0;0;0
2013;1;1196575;4.58;38;15;0;16;0;0;7;0;0;0
2013;1;1196576;4.355555555555555;33;9;0;15;0;0;9;0;0;0
2013;1;1196577;4.159999999999999;34;10;0;17;0;0;7;0;0;0
2013;1;1196578;4.30625;35;16;0;14;0;0;5;0;0;0
2013;1;1196579;4.030769230769231;34;13;0;13;0;0;8;0;0;0
